id,dep_delayed_15min
0,0.958128
1,0.072297
2,0.197799
3,0.225356
4,0.054872
5,0.005213
6,0.140220
7,0.205501
8,0.535700
9,0.128855
10,0.175562
11,0.239201
12,0.249234
13,0.092296
14,0.083079
15,0.110958
16,0.500724
17,0.020583
18,0.471614
19,0.092406
20,0.422818
21,0.009448
22,0.061528
23,0.243719
24,0.048235
25,0.033090
26,0.148862
27,0.115718
28,0.146859
29,0.128663
30,0.143122
31,0.111949
32,0.106138
33,0.164923
34,0.073297
35,0.032038
36,0.445267
37,0.031483
38,0.034697
39,0.307532
40,0.247254
41,0.018094
42,0.029937
43,0.023856
44,0.111679
45,0.081703
46,0.087163
47,0.023761
48,0.064650
49,0.012405
50,0.169877
51,0.068825
52,0.701496
53,0.030216
54,0.414201
55,0.231740
56,0.177866
57,0.152136
58,0.259190
59,0.192179
60,0.026248
61,0.102824
62,0.060483
63,0.115276
64,0.546828
65,0.156766
66,0.402795
67,0.122010
68,0.329926
69,0.123365
70,0.228439
71,0.320335
72,0.032304
73,0.152547
74,0.246427
75,0.121961
76,0.455095
77,0.092305
78,0.239290
79,0.005799
80,0.171514
81,0.248645
82,0.067864
83,0.027227
84,0.087281
85,0.463389
86,0.355339
87,0.292297
88,0.635777
89,0.017411
90,0.186835
91,0.176443
92,0.156866
93,0.103719
94,0.071083
95,0.184744
96,0.144425
97,0.511646
98,0.068320
99,0.110889
100,0.094388
101,0.025000
102,0.071869
103,0.215863
104,0.096820
105,0.028775
106,0.266721
107,0.522613
108,0.162433
109,0.085063
110,0.033578
111,0.076084
112,0.285143
113,0.235179
114,0.206360
115,0.219069
116,0.214260
117,0.101998
118,0.208314
119,0.033765
120,0.019354
121,0.102474
122,0.086093
123,0.159879
124,0.090966
125,0.100361
126,0.215780
127,0.025683
128,0.123612
129,0.171815
130,0.063267
131,0.030928
132,0.250911
133,0.154403
134,0.078238
135,0.341896
136,0.123544
137,0.057636
138,0.079067
139,0.007588
140,0.038190
141,0.011571
142,0.091810
143,0.271281
144,0.072406
145,0.452049
146,0.630227
147,0.207934
148,0.189636
149,0.472262
150,0.030350
151,0.125637
152,0.008243
153,0.150392
154,0.303570
155,0.192421
156,0.082334
157,0.215617
158,0.513486
159,0.233963
160,0.592723
161,0.057886
162,0.295889
163,0.186459
164,0.045121
165,0.269316
166,0.511047
167,0.069970
168,0.550952
169,0.114709
170,0.114963
171,0.342951
172,0.661589
173,0.394864
174,0.533481
175,0.073416
176,0.472226
177,0.159005
178,0.043329
179,0.023491
180,0.392771
181,0.011037
182,0.087429
183,0.034760
184,0.190781
185,0.031696
186,0.524571
187,0.173039
188,0.220277
189,0.619490
190,0.027389
191,0.051437
192,0.833467
193,0.061314
194,0.078962
195,0.198823
196,0.190078
197,0.008377
198,0.358165
199,0.125985
200,0.043069
201,0.021112
202,0.142285
203,0.465005
204,0.101396
205,0.191625
206,0.698089
207,0.012491
208,0.104721
209,0.010503
210,0.232433
211,0.329305
212,0.018071
213,0.434374
214,0.041667
215,0.010919
216,0.054638
217,0.022528
218,0.016610
219,0.390768
220,0.108027
221,0.660105
222,0.321815
223,0.627158
224,0.504976
225,0.673987
226,0.068382
227,0.056577
228,0.084390
229,0.034392
230,0.010312
231,0.143756
232,0.224305
233,0.282276
234,0.085847
235,0.121485
236,0.959644
237,0.263983
238,0.039439
239,0.207442
240,0.055689
241,0.393260
242,0.015187
243,0.175275
244,0.046270
245,0.185734
246,0.320218
247,0.072681
248,0.094990
249,0.299909
250,0.374638
251,0.159661
252,0.089935
253,0.912619
254,0.804473
255,0.138621
256,0.120868
257,0.191899
258,0.112470
259,0.154761
260,0.035741
261,0.152903
262,0.280645
263,0.004045
264,0.063615
265,0.137721
266,0.084192
267,0.403923
268,0.010459
269,0.046614
270,0.202008
271,0.024163
272,0.085356
273,0.104135
274,0.112484
275,0.233056
276,0.019367
277,0.162083
278,0.020744
279,0.134927
280,0.257323
281,0.446399
282,0.036206
283,0.151992
284,0.510283
285,0.379861
286,0.177113
287,0.163147
288,0.143880
289,0.183430
290,0.135628
291,0.234347
292,0.334682
293,0.070129
294,0.359589
295,0.345135
296,0.081561
297,0.259934
298,0.078841
